palavra: la  | freq: 1 | posicoes: 0 / 

palavra: amiguinhos | freq: 1 | posicoes: 3 / 

palavra: eu  | freq: 4 | posicoes: 15 / 2799 / 2862 / 4833 / 

palavra: sou  | freq: 3 | posicoes: 18 / 2802 / 2865 / 

palavra: o  | freq: 29 | posicoes: 22 / 167 / 440 / 929 / 1327 / 1348 / 1380 / 1534 / 1661 / 1769 / 2056 / 2324 / 2839 / 3532 / 3582 / 3729 / 4005 / 4067 / 4404 / 4521 / 4549 / 4702 / 4792 / 4847 / 5072 / 5263 / 5494 / 5515 / 5545 / 

palavra: beto  | freq: 1 | posicoes: 24 / 

palavra: carrero | freq: 1 | posicoes: 29 / 

palavra: seja  | freq: 1 | posicoes: 38 / 

palavra: bem-vindo  | freq: 1 | posicoes: 43 / 

palavra: ao  | freq: 3 | posicoes: 53 / 218 / 4960 / 

palavra: meu  | freq: 3 | posicoes: 56 / 2688 / 2781 / 

palavra: mundo  | freq: 2 | posicoes: 60 / 1350 / 

palavra: encantado | freq: 1 | posicoes: 66 / 

palavra: vou  | freq: 1 | posicoes: 77 / 

palavra: contar-lhe  | freq: 1 | posicoes: 81 / 

palavra: uma  | freq: 8 | posicoes: 92 / 198 / 621 / 699 / 2028 / 4417 / 5110 / 5232 / 

palavra: linda  | freq: 1 | posicoes: 96 / 

palavra: historia | freq: 1 | posicoes: 102 / 

palavra: vamos  | freq: 4 | posicoes: 112 / 3735 / 3859 / 4302 / 

palavra: viajar  | freq: 1 | posicoes: 118 / 

palavra: no  | freq: 7 | posicoes: 125 / 768 / 2172 / 2224 / 4210 / 4250 / 5204 / 

palavra: tempo  | freq: 3 | posicoes: 128 / 1098 / 4441 / 

palavra: atraves  | freq: 1 | posicoes: 134 / 

palavra: da  | freq: 8 | posicoes: 142 / 1466 / 1680 / 2979 / 3291 / 3337 / 3878 / 5212 / 

palavra: imaginacao | freq: 1 | posicoes: 145 / 

palavra: descobrir  | freq: 2 | posicoes: 157 / 349 / 

palavra: vale  | freq: 3 | posicoes: 169 / 1371 / 3380 / 

palavra: dos  | freq: 5 | posicoes: 174 / 868 / 1388 / 2410 / 3449 / 

palavra: dinossauros  | freq: 4 | posicoes: 178 / 470 / 3680 / 5171 / 

palavra: e  | freq: 3864 | posicoes: 190 / 249 / 321 / 553 / 644 / 665 / 697 / 885 / 1005 / 1096 / 1166 / 1185 / 1237 / 1433 / 1589 / 1761 / 1831 / 1880 / 2050 / 2332 / 2589 / 2790 / 2815 / 2837 / 2895 / 2915 / 3186 / 3372 / 3465 / 3498 / 

palavra: � | freq: 0 | posicoes: 

palavra: grande  | freq: 4 | posicoes: 202 / 771 / 1364 / 3360 / 

palavra: aventura  | freq: 2 | posicoes: 209 / 714 / 

palavra: lado  | freq: 3 | posicoes: 221 / 4963 / 5502 / 

palavra: de  | freq: 23 | posicoes: 226 / 418 / 807 / 922 / 1062 / 1284 / 1336 / 1523 / 1731 / 1749 / 1852 / 2374 / 2397 / 2439 / 3040 / 3991 / 4097 / 4414 / 4530 / 4597 / 4896 / 5120 / 5681 / 

palavra: nossos  | freq: 1 | posicoes: 229 / 

palavra: herois  | freq: 1 | posicoes: 236 / 

palavra: bront  | freq: 16 | posicoes: 243 / 667 / 987 / 1168 / 1711 / 2563 / 3180 / 3239 / 3492 / 3822 / 3979 / 4144 / 4767 / 4933 / 5280 / 5632 / 

palavra: trion | freq: 5 | posicoes: 251 / 1873 / 2487 / 2869 / 5640 / 

palavra: aprender  | freq: 1 | posicoes: 258 / 

palavra: que  | freq: 29 | posicoes: 267 / 366 / 522 / 687 / 907 / 1577 / 1791 / 1892 / 2006 / 2052 / 2250 / 2298 / 2509 / 2634 / 3012 / 3075 / 3126 / 3176 / 3328 / 3591 / 3633 / 3731 / 4007 / 4608 / 4817 / 4905 / 5027 / 5535 / 5613 / 

palavra: a  | freq: 21 | posicoes: 271 / 492 / 566 / 601 / 636 / 646 / 858 / 1513 / 1639 / 1721 / 3266 / 3437 / 3560 / 3621 / 3646 / 4087 / 4108 / 4447 / 4486 / 5593 / 5605 / 

palavra: verdadeira  | freq: 2 | posicoes: 273 / 703 / 

palavra: amizade  | freq: 1 | posicoes: 284 / 

palavra: supera  | freq: 1 | posicoes: 292 / 

palavra: todas  | freq: 4 | posicoes: 299 / 329 / 1694 / 4167 / 

palavra: as  | freq: 7 | posicoes: 305 / 335 / 1307 / 1700 / 4034 / 4173 / 4359 / 

palavra: dificuldades  | freq: 1 | posicoes: 308 / 

palavra: vence  | freq: 1 | posicoes: 323 / 

palavra: barreiras | freq: 1 | posicoes: 338 / 

palavra: tambem  | freq: 2 | posicoes: 359 / 4027 / 

palavra: unidos  | freq: 1 | posicoes: 370 / 

palavra: realizamos  | freq: 1 | posicoes: 377 / 

palavra: grandes  | freq: 2 | posicoes: 388 / 5693 / 

palavra: facanhas | freq: 2 | posicoes: 396 / 5701 / 

